classifier_name,caption_model,prompt_type,nli_template_type,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
bart_mnli,blip2,emotional,emotional_nli,0.45121951219512196,0.0,0.43832772549226,0.0,0.3533472659119094,0.0,3
bart_mnli,llava_next,standard,standard_nli,0.44,0.0,0.4075443953153435,0.0,0.34937085667792406,0.0,3
bart_mnli,qwen2_vl,emotional,standard_nli,0.43,0.0,0.4102708104356299,0.0,0.33102422102003465,0.0,3
bart_mnli,blip2,standard,emotional_nli,0.4090909090909091,0.0,0.40046107129056435,0.0,0.31933024748103767,0.0,3
bart_mnli,llava_next,standard,emotional_nli,0.41,0.0,0.37749136771307107,0.0,0.31414535479859246,0.0,3
bart_mnli,qwen2_vl,emotional,emotional_nli,0.415,0.0,0.4060918953187777,0.0,0.3132611945855844,0.0,3
bart_mnli,blip2,emotional,standard_nli,0.402439024390244,0.0,0.4033881527240415,0.0,0.301143357331389,0.0,3
deberta_nli,qwen2_vl,emotional,emotional_nli,0.395,0.0,0.37895662166761906,0.0,0.29511850337888207,0.0,3
deberta_nli,llava_next,emotional,emotional_nli,0.395,0.0,0.35139264764048456,0.0,0.2941422338109569,0.0,3
deberta_nli,llava_next,standard,standard_nli,0.385,0.0,0.3604193274189069,0.0,0.2836350776213172,0.0,3
deberta_nli,llava_next,standard,emotional_nli,0.385,0.0,0.3407839529831826,0.0,0.2798790760539471,0.0,3
deberta_nli,blip2,emotional,emotional_nli,0.37398373983739835,0.0,0.3455560852985775,0.0,0.271631986025501,0.0,3
roberta_nli,qwen2_vl,emotional,emotional_nli,0.375,0.0,0.35703818414841254,0.0,0.2714879102837627,0.0,3
roberta_nli,qwen2_vl,emotional,standard_nli,0.36999999999999994,0.0,0.34472151225397973,0.0,0.2676967250756907,0.0,3
bart_mnli,qwen2_vl,standard,emotional_nli,0.355,0.0,0.3464339550039009,0.0,0.2650090160522313,0.0,3
bart_mnli,llava_next,emotional,emotional_nli,0.36999999999999994,0.0,0.3417321113903989,0.0,0.26341182466806734,0.0,3
roberta_nli,blip2,emotional,emotional_nli,0.37398373983739835,0.0,0.32588543605002074,0.0,0.2606038700614725,0.0,3
bart_mnli,qwen2_vl,standard,standard_nli,0.355,0.0,0.34253160747668154,0.0,0.25617142658090836,0.0,3
roberta_nli,llava_next,standard,emotional_nli,0.36000000000000004,0.0,0.31001495806966745,0.0,0.2553409440616099,0.0,3
roberta_nli,llava_next,standard,standard_nli,0.3499999999999999,0.0,0.3014305120381708,0.0,0.24561031201447645,0.0,3
bart_mnli,llava_next,emotional,standard_nli,0.355,0.0,0.3229448360367036,0.0,0.24325513693974102,0.0,3
roberta_nli,llava_next,emotional,standard_nli,0.345,0.0,0.3017872746502326,0.0,0.23763044396775568,0.0,3
bart_mnli,blip2,standard,standard_nli,0.34415584415584416,0.0,0.3502998067969479,0.0,0.23296503806773025,0.0,3
deberta_nli,blip2,emotional,standard_nli,0.3333333333333333,0.0,0.33817103284821765,0.0,0.2321363054012254,0.0,3
deberta_nli,qwen2_vl,emotional,standard_nli,0.34,0.0,0.3293660302994113,0.0,0.2290101321848125,0.0,3
roberta_nli,blip2,emotional,standard_nli,0.34959349593495936,0.0,0.3168385864503321,0.0,0.2283298980727515,0.0,3
bart_mnli,paligemma2,standard,emotional_nli,0.3165829145728643,0.0,0.26857165468276584,0.0,0.2247216771297255,0.0,3
roberta_nli,llava_next,emotional,emotional_nli,0.335,0.0,0.2931233449030085,0.0,0.2195254469767318,0.0,3
roberta_nli,qwen2_vl,standard,emotional_nli,0.325,0.0,0.2916428258197002,0.0,0.21748143301580777,0.0,3
deberta_nli,qwen2_vl,standard,emotional_nli,0.325,0.0,0.2881118245824128,0.0,0.21323452868656298,0.0,3
deberta_nli,blip2,standard,emotional_nli,0.3116883116883117,0.0,0.29615246449923865,0.0,0.2100420376033971,0.0,3
deberta_nli,blip2,standard,standard_nli,0.3051948051948052,0.0,0.31235975149680056,0.0,0.19906442457312598,0.0,3
deberta_nli,llava_next,emotional,standard_nli,0.315,0.0,0.28812609677489737,0.0,0.1940979244703633,0.0,3
bart_mnli,paligemma2,standard,standard_nli,0.3015075376884422,0.0,0.2744778858751698,0.0,0.19378381741050585,0.0,3
roberta_nli,blip2,standard,emotional_nli,0.2857142857142857,0.0,0.251929012345679,0.0,0.1746117281643292,0.0,3
deberta_nli,qwen2_vl,standard,standard_nli,0.29,0.0,0.25668218848326424,0.0,0.16539447880026903,0.0,3
roberta_nli,blip2,standard,standard_nli,0.2792207792207792,0.0,0.2640624207536384,0.0,0.15962577311945528,0.0,3
roberta_nli,qwen2_vl,standard,standard_nli,0.275,0.0,0.21790467038391312,0.0,0.15560883702771217,0.0,3
deberta_nli,paligemma2,standard,emotional_nli,0.22110552763819094,0.0,0.1463588212215005,0.0,0.07922241048431025,0.0,3
roberta_nli,paligemma2,standard,emotional_nli,0.22110552763819094,0.0,0.14395548557133925,0.0,0.07805394194623806,0.0,3
